ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
1024	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	दालिः	1	(:Prepared_substance {'lemma': दाली})-[:IS_SYNONYM_OF]->({'lemma': दालि})	चणकस्य	1	(:Shimbii_dhanya {'lemma': चणक})<-[:IS_PREPARATION_OF]-({'lemma': चणकसूप}); (:Prepared_substance {'lemma': चणकसूप})-[:IS_PREPARATION_OF]->({'lemma': चणक})	चणकस्य	1	(:Shimbii_dhanya {'lemma': चणक})<-[:IS_PREPARATION_OF]-({'lemma': चणकसूप}); (:Prepared_substance {'lemma': चणकसूप})-[:IS_PREPARATION_OF]->({'lemma': चणक}); (:Shimbii_dhanya {'lemma': मुद्ग})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य}); (:Shimbii_dhanya {'lemma': मुद्ग})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य})
1025	यवेषु केन संस्कारेण धाना उत्पद्यते?	भर्जनसंस्कारः		भर्जनसंस्कारः	1	(:Prepared_substance {'lemma': धाना})-[:IS_OUTPUT_OF_BHARJANA_SANSKAARA_ON]->({'lemma': निस्तुष-यव}); (:Shuuka_dhanya {'lemma': यव})-[:IS_TYPE_OF]->({'lemma': शूकधान्य}); (:Shuuka_dhanya {'lemma': यव})-[:IS_TYPE_OF]->({'lemma': शूकधान्य}); (:Prepared_substance {'lemma': धाना})-[:IS_TYPE_OF]->({'lemma': कृतान्न})	भर्जनेन	1	(:Prepared_substance {'lemma': धाना})-[:IS_OUTPUT_OF_BHARJANA_SANSKAARA_ON]->({'lemma': निस्तुष-यव})	भर्जनेन	1	(:Prepared_substance {'lemma': धाना})-[:IS_OUTPUT_OF_BHARJANA_SANSKAARA_ON]->({'lemma': निस्तुष-यव})
1026	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम्	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	शुष्कभर्जनम्	1		शुष्कभर्जनम्	1	(:Shimbii_dhanya {'lemma': चणक})<-[:IS_OUTPUT_OF_SHUSHKA_BHARJANA_SANSKAARA_ON]-({'lemma': शुष्कभृष्टचणक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_OUTPUT_OF_ANGAARA_BHARJANA_SANSKAARA_ON]-({'lemma': अङ्गारभृष्टचणक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_OUTPUT_OF_SVEDANA_SANSKAARA_ON]-({'lemma': स्विन्नचणक})	आर्द्रभर्जनेन	1	(:Shimbii_dhanya {'lemma': चणक})<-[:IS_OUTPUT_OF_AARDRA_BHARJANA_SANSKAARA_ON]-({'lemma': आर्द्रभृष्टचणक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_OUTPUT_OF_ANGAARA_BHARJANA_SANSKAARA_ON]-({'lemma': अङ्गारभृष्टचणक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_OUTPUT_OF_TAILA_BHARJANA_SANSKAARA_ON]-({'lemma': तैलभृष्टचणक})
1027	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् + वेल्लनम्	पाचनम् / वेल्लनम् / चिपिटीकरणम्	चिपिटीकरणम्	1		पाचनम्	1		"उत्तरम्: पाचनम्, वेल्लनम्, चिपिटीकरणम्

पोलिकायाः उत्पत्तौ एते त्रयः संस्काराः आवश्यकाः - पाचनम्, वेल्लनम्, चिपिटीकरणम् च पाचनेन द्रव्याणि पच्यन्ते, वेल्लनेन मिश्रीक्रियन्ते, चिपिटीकरणेन च पोलिकायाः आकारः दीयते"	1	
1028	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तक्र-मज्जन-संस्कारः	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	घृत-तलन-संस्कारः	1		घृत-तलन-संस्कारेण	1		"उत्तरम्: घृत-तलन-संस्कारेण

मुद्गवटकाः घृते तलिताः सन्तः त्रिदोषशामकाः भवन्ति घृतस्य स्नेहगुणेन वातदोषः शाम्यति, तलनेन पित्तदोषः शाम्यति, मुद्गस्य कफहरगुणेन च कफदोषः शाम्यति अतः घृत-तलन-संस्कारः मुद्गवटकान् त्रिदोषशामकान् करोति"	1	
1029	पोलिकायाः अनुपानं किम् ? 	लप्सिका	लप्सिका / घृतम् / दुग्धम् / शर्करा	लप्सिका	1	(:Prepared_substance {'lemma': लप्सिका})-[:IS_ANUPAANA_OF]->({'lemma': पोलिका}); (:Prepared_substance {'lemma': पोलिका})<-[:IS_ANUPAANA_OF]-({'lemma': लप्सिका})	लप्सिका	1	(:Prepared_substance {'lemma': लप्सिका})-[:IS_ANUPAANA_OF]->({'lemma': पोलिका}); (:Prepared_substance {'lemma': पोलिका})<-[:IS_ANUPAANA_OF]-({'lemma': लप्सिका})	लप्सिकायाम्	1	(:Prepared_substance {'lemma': लप्सिका})-[:IS_ANUPAANA_OF]->({'lemma': पोलिका}); (:Prepared_substance {'lemma': पोलिका})<-[:IS_ANUPAANA_OF]-({'lemma': लप्सिका})
1030	अलीकमत्स्यस्य अनुखादनं किम् ? 	वृन्ताक-भटित्र ; वास्तुक-शाक		वास्तुकः, वृन्ताक-भटित्रम्	1	(:Prepared_substance {'lemma': अलीकमत्स्य})<-[:IS_ANUKHAADANA_OF]-({'lemma': वास्तुक}); (:Prepared_substance {'lemma': अलीकमत्स्य})<-[:IS_ANUKHAADANA_OF]-({'lemma': वृन्ताक-भटित्र}); (:Prepared_substance {'lemma': अलीकमत्स्य})-[:IS_TYPE_OF]->({'lemma': कृतान्न})	वास्तुक	1	(:Prepared_substance {'lemma': अलीकमत्स्य})<-[:IS_ANUKHAADANA_OF]-({'lemma': वास्तुक}); (:Prepared_substance {'lemma': अलीकमत्स्य})<-[:IS_ANUKHAADANA_OF]-({'lemma': वृन्ताक-भटित्र})	वास्तुकं वृन्ताक-भटित्रं च	1	(:Prepared_substance {'lemma': अलीकमत्स्य})<-[:IS_ANUKHAADANA_OF]-({'lemma': वास्तुक}); (:Prepared_substance {'lemma': अलीकमत्स्य})<-[:IS_ANUKHAADANA_OF]-({'lemma': वृन्ताक-भटित्र})
1031	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चात् देशः	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	उत्तरदेशः	1		उत्तरदेशः	1		पश्चाद्देशे	1	(:Shuuka_dhanya {'lemma': महागोधूम})<-[:IS_LOCATION_OF]-({'lemma': पश्चाद्देश}); (:Shuuka_dhanya {'lemma': महागोधूम})-[:IS_VARIANT_OF]->({'lemma': गोधूम})
1032	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?	मधूली		मध्यदेशस्य	1		मधूली	1	(:Location {'lemma': मध्यदेश})-[:IS_LOCATION_OF]->({'lemma': मधूली})	मधूलेः	1	(:Location {'lemma': मध्यदेश})-[:IS_LOCATION_OF]->({'lemma': मधूली})
1033	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	ग्रीष्मः	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	हेमन्तः	1		वसन्तः	1	(:Season {'lemma': वसन्त})-[:IS_NOT_TIME_OF_CONSUMPTION_OF]->({'lemma': दधि}); (:Season {'lemma': वसन्त})-[:IS_NOT_TIME_OF_CONSUMPTION_OF]->({'lemma': रसाला})	"उत्तरम्: ग्रीष्मे

चणकसक्तूनाम् अभ्यवहरणकालः ग्रीष्मऋतौ भवति ग्रीष्मकाले शीतलाहारस्य आवश्यकता भवति, अतः चणकसक्तवः शीतलगुणयुक्ताः सन्तः तदा सेवनाय उत्तमाः"	1	
1034	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा ; भुक्त	निशा / प्रातः / भुक्त / मध्याह्ने	मध्याह्ने	1		निशा	1	(:Time_of_day {'lemma': निशा})-[:IS_NOT_TIME_OF_CONSUMPTION_OF]->({'lemma': सक्तु}); (:Prepared_substance {'lemma': सक्तु})<-[:IS_NOT_TIME_OF_CONSUMPTION_OF]-({'lemma': निशा}); (:Prepared_substance {'lemma': सक्तु})<-[:IS_NOT_TIME_OF_CONSUMPTION_OF]-({'lemma': भुक्त})	"निशायाम्

सक्तूनाम् अभ्यवहरणकालः निशायां न भवति अन्येषु कालेषु (प्रातः, भुक्ते, मध्याह्ने) सक्तूनाम् अभ्यवहरणं शक्यम्, परन्तु निशायां तेषाम् उपयोगः न उचितः"	1	(:Time_of_day {'lemma': निशा})-[:IS_NOT_TIME_OF_CONSUMPTION_OF]->({'lemma': सक्तु}); (:Prepared_substance {'lemma': सक्तु})<-[:IS_NOT_TIME_OF_CONSUMPTION_OF]-({'lemma': निशा}); (:Prepared_substance {'lemma': सक्तु})<-[:IS_NOT_TIME_OF_CONSUMPTION_OF]-({'lemma': भुक्त})
1035	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	धान्यस्य अंकुरान् चरतां पक्षिणां	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	विष्किरपक्षिणाम्	1		जले निवसतां पक्षिणाम्	1	(:Jaangala_praani {'lemma': पक्षिन्})<-[:IS_PART_OF]-({'lemma': अण्ड}); (:Dhaanya {'lemma': धान्य})<-[:IS_VARIANT_OF]-({'lemma': तण्डुल-युक्त-धान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_OUTPUT_OF_BHARJANA_SANSKAARA_ON]-({'lemma': भ्राष्ट्र-भृष्ट-धान्य})	विष्किरपक्षिणाम्	1	(:Jaangala_praani {'lemma': पक्षिन्})<-[:IS_PART_OF]-({'lemma': अण्ड})
1036	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् + अल्पवर्चस्	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	अल्पवर्चस्	1	(:Mala_pob {'lemma': वर्चस्})-[:IS_DECREASED_BY]->({'lemma': शालि}); (:Mala_pob {'lemma': वर्चस्})-[:IS_DECREASED_BY]->({'lemma': शालि})	वर्चसि शाल्याः अल्पवर्चस्	1	(:Mala_pob {'lemma': वर्चस्})-[:IS_INCREASED_BY]->({'lemma': कोशस्थमांस}); (:Mala_pob {'lemma': वर्चस्})-[:IS_INCREASED_BY]->({'lemma': कोशस्थमांस}); (:Mala_pob {'lemma': वर्चस्})-[:IS_INCREASED_BY]->({'lemma': शाक}); (:Mala_pob {'lemma': वर्चस्})-[:IS_INCREASED_BY]->({'lemma': शाक}); (:Mala_pob {'lemma': वर्चस्})-[:IS_DECREASED_BY]->({'lemma': वापितशालि}); (:Mala_pob {'lemma': वर्चस्})-[:IS_DECREASED_BY]->({'lemma': वापितशालि})	"उत्तरम्: बद्धवर्चस्

शाल्याः (चावलस्य) वर्चसि कर्म बद्धवर्चस् भवति शालिः मलबन्धनं करोति, अतः तस्य प्रभावः बद्धवर्चस् इति कथ्यते आयुर्वेदे"	1	
1037	गोधूमस्य कानि कर्माणि दृश्यन्ते 	सर्वाणि	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि	1	(:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_CAUSED_BY]-({'lemma': सन्धान}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_CAUSED_BY]-({'lemma': जीवन}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_CAUSED_BY]-({'lemma': बृंहण})	सर्वाणि	1	(:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_INCREASED_BY]-({'lemma': स्थिर}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_INCREASED_BY]-({'lemma': शुक्र}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_PASSIVISED_BY]-({'lemma': पित्त})	सर्वाणि	1	(:Karma {'lemma': जीवन})-[:IS_CAUSED_BY]->({'lemma': गोधूम}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_CAUSED_BY]-({'lemma': जीवन}); (:Shuuka_dhanya {'lemma': गोधूम})<-[:IS_CAUSED_BY]-({'lemma': बृंहण})
1038	शिम्बिधान्येषु किं स्तन्यकरम् अस्ति? 	निष्पाव + माष	 निष्पाव / मुद्ग / माष / १+३	निष्पावः	1	(:Dhaanya {'lemma': शिम्बिधान्य})<-[:IS_TYPE_OF]-({'lemma': निष्पाव}); (:Dhaanya {'lemma': शिम्बिधान्य})<-[:IS_TYPE_OF]-({'lemma': मुद्ग})	निष्पाव	1	(:Shimbii_dhanya {'lemma': निष्पाव})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': शिम्बिधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य}); (:Dhaanya {'lemma': शिम्बिधान्य})<-[:IS_TYPE_OF]-({'lemma': वन्यतिल})	मुद्गे	1	(:Shimbii_dhanya {'lemma': निष्पाव})-[:IS_TYPE_OF]->({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': शिम्बिधान्य})<-[:IS_TYPE_OF]-({'lemma': निष्पाव}); (:Dhaanya {'lemma': शिम्बिधान्य})<-[:IS_TYPE_OF]-({'lemma': मुद्ग})
1039	रक्तधातवे चणकस्य किं कर्म? 	रक्तविकारापह	रक्तहर / रक्तविकारापह / रक्तप्रकोपक / रक्तदुष्टीकर	रक्तविकारापह	1	(:Shimbii_dhanya {'lemma': चणक})<-[:IS_CURED_BY]-({'lemma': रक्तविकार}); (:Uparasa {'lemma': रक्तधातु})-[:IS_SYNONYM_OF]->({'lemma': गैरिक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_CURED_BY]-({'lemma': ज्वर})	रक्तहर	1	(:Uparasa {'lemma': रक्तधातु})-[:IS_SYNONYM_OF]->({'lemma': गैरिक}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कषाय}); (:Shimbii_dhanya {'lemma': चणक})<-[:IS_SYNONYM_OF]-({'lemma': सकलप्रिय})	रक्तविकारापह	1	(:Shimbii_dhanya {'lemma': चणक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कषाय}); (:Shimbii_dhanya {'lemma': चणक})-[:IS_INGREDIENT_OF]->({'lemma': चणक-पर्पट})
