ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
396	अवलेहेन सह उत्तमम् अनुपानं किम्?	सर्वे	दुग्धम् / इक्षुरसः / पञ्चमूलक्वाथः / सर्वे	दुग्धम्	दुग्धम्	सर्वे	दुग्धम्
398	सीध्वाः प्रकाराः कति भवन्ति?	2	2 / 3 / 4 / न कश्चित्	३	चत्वारः	त्रयः	त्रि
399	वारुण्याः विषये कः नियमः उचितः ?	क-ख	तालरसस्य मद्यम् / खर्जूररसस्य मद्यम् / यवेन मद्य / क-ख	खर्जूररसस्य मद्यम्	तालरसस्य मद्यम्	तालरसस्य मद्यम्	यवेन मद्य
400	चुक्रं किं कथ्यते?	सर्वे वाक्याः सत्याः	यत् मद्यम् अम्लं भवेत् / अम्लं जातस्य मद्यस्य विकारेण यः संधानं कुर्यात् / गुडजलं तैलं कन्दं शाकं च फलसंयुक्तं यः अम्लं भवेत् / सर्वे वाक्याः सत्याः	सर्वे वाक्याः सत्याः	चुक्रं मद्यम् अम्लं भवेत् |	पञ्चकයः	अम्लम्
402	गजपुटस्य प्रमाणं किम् अस्ति?	त्रिंशङ्गुलि	विंशत्यङ्गुलि / पञ्चविंशत्यङ्गुलि / त्रिंशङ्गुलि / किञ्चित् न	त्रिंशङ्गुलि	विंशत्यङ्गुलि	पञ्चविंशत्यङ्गुलि	विंशत्यङ्गुलि
403	वराहपुटस्य प्रमाणं किम् ?	अरत्निमात्रा	त्रिंशङ्गुलि / अरत्निमात्रा / बालिशतम् / किञ्चित् न	त्रिंशङ्गुलि	अरत्निमात्रा	त्रिंशङ्गुलि	अरत्निमात्रा
404	कुक्कुटपुटस्य प्रमाणं किम् ?	एकबालिशतम्	एकबालिशतम् / एकारत्निः / सप्तदशाङ्गुलि / त्रिंशङ्गुलि	सप्तदशाङ्गुलि	एकारत्निः	एकारत्निः	एकबालिशतम्
406	ताम्रस्य दोषाः कति?	अष्टौ	द्वे / चत्वारि / षट् / अष्टौ	चत्वारि	षट्	षट्	षट्
407	वङ्गस्य भेदाः कति?	द्वे	षट् / पञ्च / चत्वारि / द्वे	चत्वारि	चत्वारि	षट्	षट्
408	दीप्ताग्निपुरुषस्य स्नेहपानप्रमाणं  किं भवति?	एकः पलः	एकः पलः / त्रयः कर्षाः / द्वौ कर्षौ / एकः तोलः	त्रयः कर्षाः	द्वौ कर्षौ	एकः पलः	एकः पलः
409	मध्यमाग्निपुरुषस्य स्नेहमात्रा का?	त्रयः कर्षाः	चत्वारः कर्षाः / त्रयः कर्षाः / द्वौ कर्षौ / एकः कर्षः	द्वौ कर्षौ	द्वौ कर्षौ	द्वौ कर्षौ	चत्वारः कर्षाः
410	हीनाग्निपुरूषस्य सम्यक् स्नेहमात्रा का?	2 तोला; द्वे तोले	4 तोला / 3 तोला / 2 तोला / 1 तोला	1 तोला	२ तोला	2 तोला	2 तोला
413	घृतपानानन्तरं अनुपानं किम्?	उष्ण जलम्; उष्णजलम्	उष्ण जलम् / तैलम् / माण्डम् / यूषम्	उष्ण जलम्	उष्ण जलम्	उष्ण जलम्	यूषम्
414	वसा मज्जा च पीत्वा अनुपानं किम्?	मण्डम्	शीतल जलम् / मण्डम् / तैलम् / उष्ण जलम्	उष्ण जलम्	उष्ण जलम्	तैलम्	उष्ण जलम्
415	स्नेहस्य पाचनानन्तरं चिकित्सा का?	उष्ण जल पानम्	वमनम् / विरेचनम् / उष्ण जल पानम् / न किञ्चित्	वमनम्	वमनम्	वमनम्	वमनम्
416	वमनातियोगे चिकित्सा का?	मृदु विरेचनम्; मृदुविरेचनम्	पुनः वमन औषध प्रयोगः / मृदु विरेचनम् / तीक्ष्ण विरेचनम् / नस्य	मृदु विरेचनम्	मृदु विरेचनम्	पुनः वमन औषध प्रयोगः	तीक्ष्ण विरेचनम्
418	मात्रावस्तौ स्नेहमात्रा का?	उभे	1 पल / 2 पल / उभे / न किञ्चित्	उभे	उभे	उभे	उभे
419	अनुवासनवस्त्यै अयोग्यः कः?	सर्वे	मेह रोगः / कुष्ठम् / उदर रोगः / सर्वे	सर्वे	सर्वे	सर्वे	मेह रोगः
425	मर्श-नस्यस्य मात्रा का?	8 शाण	2 शाण / 4 शाण / 8 शाण / 10 शाण	2 शाण	४ शाण	4 शाण	8 शाण
426	प्रतिमर्श-नस्यस्य मात्रा का?	2 बिन्दु; २बिन्दु; द्वौ बिन्दू	अर्द्ध बिन्दु / 1 बिन्दु / 2 बिन्दु / 4 बिन्दु	अर्द्ध बिन्दु	अर्द्ध बिन्दु	1 बिन्दु	अर्द्ध बिन्दु
432	गण्डूषं धारयितुं चूर्णस्य मात्रा का अस्ति?	1 कोल	अर्ध कोल / 1 कर्ष / 1 कोल / अर्ध कर्ष	अर्ध कर्ष	अर्ध कर्ष	अर्ध कर्ष	अर्ध कर्ष
433	कवलं धारयितुं कल्कस्य का मात्रा गृह्णीयात्?	1 कर्ष	अर्ध कर्ष / 1 कर्ष / 2 कर्ष / 1 कोल	1 कर्ष	अर्ध कर्ष	2 कर्ष	अर्ध कर्ष
439	वर्त्मगतरोगेषु कियत् वाक्-शतपर्यन्तं तर्पणं कार्यम्?	100; १००; शतम्	100 / 500 / 600 / 700	५००	षट्शतपर्यन्तं तर्पणं कार्यम्	पञ्चशतं	100
441	रसरूपं चूर्णरूपं वर्त्तिरूपं च एते कस्य भेदाः?	अञ्जन; अञ्जनस्य	पुटपाक / तर्पण / अञ्जन / सेक	अञ्जन	अञ्जनस्य	पुटपाकस्य भेदाः	पुटपाकस्य रसरूपं, तर्पणस्य चूर्णरूपं, अञ्जनस्य वर्त्तिरूपं, सेकस्य च निर्वर्त्यरूपम्
443	भावप्रकाशे उक्ता रोगिणः परीक्षा केन आचार्येण उक्तपरीक्षातुल्या?	वाग्भट्टः	चरकः / सुश्रुतः / वाग्भट्टः / माधवः	सुश्रुतः	चरकः	चरकः	वाग्भट्टः
11	आमलकी एतेषु कस्य पर्यायः नास्ति?	कर्षफलम्	शिवः / धात्रीफलम् / श्रीफलम् / कर्षफलम्	श्रीफलम्	श्रीफलम्	श्रीफलम्	शिवः
